op_name,magnitude,probability,mean_val_acc,std_val_acc,mean_top5_acc,std_top5_acc,mean_train_acc,std_train_acc,mean_runtime_sec,n_seeds
ColorJitter,0.4448,0.5,32.9,0.0,35.2,0.0,1.2444,0.0,248.03,1
ColorJitter,0.5424,0.5,28.7,0.0,55.3,0.0,45.9889,0.0,230.29,1
ColorJitter,0.6075,0.5,9.7,0.0,26.4,0.0,8.6,0.0,159.3,1
ColorJitter,0.1906,0.5,9.6,0.0,29.6,0.0,11.8889,0.0,151.76,1
ColorJitter,0.8351,0.5,9.3,0.0,26.2,0.0,7.2667,0.0,198.12,1
ColorJitter,0.3053,0.5,8.6,0.0,24.6,0.0,9.0111,0.0,64.98,1
ColorJitter,0.3635,0.5,8.6,0.0,18.2,0.0,9.3333,0.0,55.5,1
ColorJitter,0.5763,0.5,8.5,0.0,25.6,0.0,9.0111,0.0,56.1,1
ColorJitter,0.7539,0.5,8.4,0.0,21.1,0.0,6.8667,0.0,55.24,1
ColorJitter,0.2219,0.5,8.2,0.0,25.4,0.0,9.4,0.0,67.34,1
